Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1.4871500000000002e-06,4.9024354497000004
1.50336e-06,10.4689499286
1.63499e-06,16.072111134000004
2.1766100000000003e-06,21.666486090600003
3.0717e-06,27.249698925000004
4.39222e-06,32.812380627
4.94793e-06,38.383355472000005
5.7712299999999995e-06,43.945813035
7.32715e-06,49.51544304600001
1.1424399999999999e-05,55.069831605000005
1.6155700000000002e-05,60.621530496000005
2.5346700000000002e-05,66.137367147
3.7697800000000004e-05,71.655445188
5.47154e-05,77.14550585399999
8.240449999999999e-05,82.61942851200001
0.00012350099999999998,88.04404059000001
0.000170552,93.44982499200002
0.00022298200000000001,98.858971479
0.000272636,104.273721441
0.000321679,109.69564385100001
0.000366859,115.13303185200002
0.000405646,120.58185094200002
0.000447933,126.00489404700002
0.000484925,131.436678573
0.000520557,136.87473899100002
0.000553379,142.315040799
0.000590149,147.741670128
0.000632719,153.15485111700002
0.000676611,158.56332518700003
0.000726639,163.951626747
0.000786892,169.30697987400004
0.0008521269999999999,174.639470823
0.0009348770000000001,179.90584076700003
0.0010342,185.11707251700003
0.0011537799999999999,190.23797625000003
0.0012936700000000002,195.29006931
0.00145416,200.28388623000004
0.0016515900000000003,205.198133805
0.00185212,210.053881101
0.0020718299999999998,214.81840382400003
0.00230838,219.540115998
0.00255836,224.21520726
0.00282185,228.83022927000005
0.00309732,233.40938904000004
0.00338856,237.94372101000002
0.0036853800000000003,242.44891491
0.0039946899999999995,246.88462572
0.00431235,251.29343985
0.004642830000000001,255.6977712
0.0049812699999999994,260.08417143
0.005328340000000001,264.42350247
0.00569072,268.76955768
0.006056929999999999,273.03940563000003
0.006441799999999999,277.32494331000004
0.006838630000000001,281.66203296000003
0.007233739999999999,285.88705311
0.00763437,290.00448654
0.008057749999999999,294.19364445
0.00847822,298.24607757
0.00892181,302.42851131000003
0.0093595,306.51456528000006
0.009808919999999999,310.62527454
0.011328399999999999,323.84499276
0.0128229,337.4636784
0.014408800000000001,350.31132588
0.016022,363.16793892000004
0.0176414,375.9685172100001
0.019268399999999998,388.51581843
0.0209304,401.05863687000004
0.0226367,413.4243855
0.0243775,425.5458226200001
0.0262246,437.66277696000003
0.0281132,449.26869438000006
0.0300991,460.7625423
0.0321744,471.69828411
0.0343955,482.3314382700001
0.0367284,492.52527999000006
0.0392915,502.5263621700001
0.042044899999999996,512.15313222
0.044943699999999996,521.3495553900001
0.04799,530.04838998
0.051091199999999996,538.20929097
0.05436560000000001,546.04294902
0.0576775,553.5471227400001
0.061151800000000006,560.8809508200001
0.0646282,567.99960546
0.06820949999999999,574.92550056
0.07182090000000001,581.85587844
0.0754567,588.68539377
0.0789634,595.14732114
0.0825409,601.87149114
0.0861369,608.761524
0.0897655,615.84879918
0.0932651,623.06607498
0.0966949,630.55680036
0.0999731,638.02511184
0.10754299999999999,658.33882941
0.114235,681.6022162200001
0.119726,708.00803181
0.124156,737.2021365600001
0.12764899999999998,768.35521617
0.13011799999999998,803.92383408
0.131401,842.9598823200001
0.132016,883.2690400800001
0.1326,923.5513011600001
0.13344899999999998,963.1476969000001
0.134547,1000.9308081300001
0.137155,1034.6480379000002
0.14500200000000002,1054.08985476
0.155972,1063.2616226400003
0.16785799999999998,1070.04182739
0.180303,1075.70357853
0.19283599999999998,1080.6973954500002
0.205836,1085.1218993100001
0.218588,1088.8896759000002
0.231533,1092.24951951
0.244704,1095.3852241200002
0.257963,1098.1242027
0.271395,1100.63007672
0.284885,1102.94991537
0.298505,1105.03664946
0.312178,1107.0135554400001
0.325968,1108.8156330000002
0.33988599999999997,1110.52133079
0.35350699999999996,1112.06788989
0.36737800000000004,1113.4956553200002
0.38127199999999994,1114.85617905
0.394771,1116.0485985300002
0.408328,1117.16929353
0.42192199999999996,1118.2249882200001
0.435606,1119.1932687
0.449352,1120.10775582
0.463122,1120.9550012400002
0.476962,1121.7955224900002
0.49083699999999997,1122.5531123100002
0.504739,1123.24570182
0.518698,1123.88449797
0.532766,1124.5188113400002
0.546751,1125.12622803
0.560855,1125.6484719000002
0.574855,1126.14381909
0.588879,1126.6638215700002
0.603019,1127.1188237400002
0.6171059999999999,1127.6186537100002
0.63119,1128.0019314
0.645293,1128.43227828
0.6590260000000001,1128.79090068
0.672833,1129.16073003
0.68677,1129.5126282600002
0.700721,1129.8645264900001
0.714627,1130.1290105100002
0.728518,1130.39573592
0.742573,1130.70504774
0.756612,1131.0278079000002
0.770641,1131.24073995
0.784825,1131.53660343
0.798472,1131.8414324700002
0.8121860000000001,1132.04539896
0.8261860000000001,1132.2829863
0.8400839999999999,1132.5609186600002
0.854047,1132.8209199000003
0.867835,1133.0159208300001
0.881873,1133.3073015300001
0.89586,1133.56954416
0.909948,1133.83178679
0.923655,1134.1769608500001
0.9374239999999999,1134.5221349100002
0.950886,1135.00851654
0.96445,1135.49713956
0.978142,1136.29955718
0.9911660000000001,1137.8124954300001
