Pressure (Pa),Loading (mol/kg)
0.0001,0.000775579
0.0005,0.00359024
0.001,0.007522754
0.005,0.038848142
0.01,0.07780188
0.05,0.363353384
0.1,0.673603262
0.5,1.886084764
1,3.047785856
5,6.419064696
10,8.67118278
20,10.38994999
30,11.47115106
40,12.25653968
50,12.79416534
60,13.41849566
70,13.75435785
80,14.22628504
90,14.69844891
100,14.8906032
150,16.25798571
200,17.09898299
250,17.7282071
300,18.271473
350,18.80052724
400,19.17772453
450,19.45971857
500,19.79560625
550,19.96160205
600,20.39191376
650,20.4870442
700,20.88938045
750,20.83450731
800,21.14257974
850,21.14462246
900,21.53176027
950,21.3956079
1000,21.62781921
1500,22.64279019
2000,23.15401703
2500,23.61464188
3000,23.98337699
3500,24.27011917
4000,24.7772642
4500,24.84741224
5000,25.17953491
5500,25.52608044
6000,25.6195796
6500,25.79915349
7000,26.10978934
7500,26.21205291
8000,26.47548039
8500,26.72747808
9000,26.74369242
9500,26.96241667
10000,27.07702761
20000,31.48357721
30000,43.28719321
40000,44.31509051
50000,44.49169317
60000,44.71819506
70000,44.6713326
80000,44.90014666
90000,45.01438984
100000,45.24776271
